machine,capacity,processed,busy_time,downtime,utilization,availability
Cutting,1,104,399.55454835867096,25.858076891143778,0.9513203532349308,0.9384331502591815
Drilling,1,79,413.7283963816806,47.911597638939405,0.985067610432573,0.8859247675263348
Assembly,2,79,403.3759413852577,57.95746469910315,0.4802094540300687,0.9310030182153534
Painting,1,77,191.86650578295925,17.56959284236639,0.45682501376895057,0.9581676360896039
