machine,capacity,processed,busy_time,utilization
Cutting,1,159,476.7584166168493,0.9932467012851026
Drilling,1,103,467.97638670490426,0.9749508056352172
Assembly,2,71,441.46925480362944,0.919727614174228
Painting,1,71,174.65612208550635,0.36386692101147156
